Date,huc12,mean,25th,50th,75th
2012-03-01,170402080505,46.31835558190103,30.223037275973933,41.0,60.0
2012-03-01,170402080601,52.95415463562907,39.99999999999999,52.99999999999999,66.00000000000001
2012-03-01,170402080604,34.11339158706518,22.999999999999996,32.0,44.00000000000001
2012-03-01,170402080305,57.07022367798636,44.0,56.49716008098094,70.00000000000001
2012-03-01,170402080306,50.898158348796464,38.00000000000001,50.00000000000001,64.0
2012-03-01,170402080201,53.786165127817995,41.000000000000014,53.00000000000001,65.99999999999999
2012-03-01,170402080203,54.21758332629698,36.99999999999999,51.99999999999999,70.0
2012-03-01,170402080202,55.537882361584685,43.0,55.01720598139563,69.49198172805909
2012-03-01,170402080204,63.73653501934963,52.00000000000001,66.32770621019263,77.00000000000001
2012-03-01,170402080208,60.6629143714161,45.0,59.00000000000001,74.99999999999999
2012-03-01,170402080209,59.34535271517315,44.505512144388916,60.0,75.50739444128517
2012-03-01,170402080207,63.2039523654731,46.56457633870141,62.000000000000014,78.31061151825813
2012-03-01,170402080210,57.233250498906095,42.25701130021557,56.252043322093556,72.19327699053187
2012-03-01,170402080301,52.70226138677098,36.46935811401444,52.00000000000001,70.0
2012-03-01,170402080303,52.56272672335846,42.5046667858529,50.48261511421551,62.0
2012-03-01,170402080302,47.03263695649033,38.40521654720285,46.12742930078759,56.010696974104775
2012-03-01,170402080304,56.348112035728754,43.0,53.99999999999999,67.0
2012-03-01,170402080307,52.637214676261344,43.00000000000002,51.39565158066195,61.00000000000001
2012-03-01,170402080308,49.58365414519701,39.061273877314626,48.030702385800126,59.06367647095712
2012-03-01,170402080401,52.760870243039804,42.99999999999999,53.00000000000001,61.99999999999997
2012-03-01,170402080403,57.45966449294679,47.0,57.00000000000001,66.0
2012-03-01,170402080205,60.3028402315979,50.00000000000001,57.4798961507276,67.47355656501321
2012-03-01,170402080402,57.671733906445475,44.00000000000001,57.00000000000001,70.0
2012-03-01,170402080404,52.85738066840352,38.35289428679092,52.412479072268624,64.99999999999999
2012-04-01,170402080608,69.86061149627383,50.49085650520371,66.9743860419051,84.94809167665545
2012-04-01,170402080102,76.95156506401865,62.372754954858706,77.39644143665878,91.48944585911548
2012-04-01,170402080104,71.3117299408606,48.99999999999999,68.0,93.99999999999999
2012-04-01,170402080106,73.73559655298288,56.48331081618056,72.46644042528149,92.0
2012-04-01,170402080107,71.37110646642147,56.00000000000001,70.99999999999999,85.99999999999999
2012-04-01,170402080105,80.26761610460875,58.0,80.46239989632876,98.3891258849899
2012-04-01,170402080108,78.35844929723696,62.42968998404796,78.44963913963181,92.0
2012-04-01,170402080211,85.92968070079928,67.99999999999997,83.48050200547331,101.0
2012-04-01,170402080506,71.15090323137042,50.414099566008865,66.32940437310937,90.0
2012-04-01,170402080602,70.64893877977455,54.20674374143281,68.99999999999999,87.17366154637187
2012-04-01,170402080603,71.58408303089674,52.88589934526651,69.95596294485908,88.47945135631247
2012-04-01,170402080605,55.9682904915725,38.11874602637149,54.50800140182338,72.16031484959258
2012-04-01,170402080607,64.30689337810426,43.00000000000001,59.06205840409669,80.99999999999999
2012-04-01,170402080606,73.15544186065762,55.00000000000001,72.46684749664769,90.99999999999999
2012-04-01,170402080507,62.39431018478371,44.0,60.0,79.00000000000001
2012-04-01,170402080101,73.54757398476737,63.0,73.2234517118305,83.99999999999999
2012-04-01,170402080103,77.98858541712863,52.999999999999986,73.0,97.00000000000003
2012-04-01,170402080206,86.26253538091137,61.00000000000001,81.99999999999997,106.00000000000001
2012-04-01,170402080501,80.82822666845817,60.0,78.0,99.0
2012-04-01,170402080502,83.65018605303156,59.0,81.00000000000001,105.99999999999996
2012-04-01,170402080503,68.5024431824335,43.0,68.0,95.0
2012-04-01,170402080504,81.75237370629561,57.0,79.40256495618684,105.14699233122037
2012-04-01,170402080505,68.84925971875438,47.0,64.44847540432674,88.0
2012-04-01,170402080601,71.95784023080802,56.116683352034386,69.0,86.0
2012-04-01,170402080604,46.968240828732625,32.0,43.99999999999999,59.999999999999986
2012-04-01,170402080305,83.35564562960853,64.50041884748755,80.0,102.00000000000001
2012-04-01,170402080306,73.03459962736265,57.00000000000001,70.99999999999997,88.00000000000001
2012-04-01,170402080201,82.5005470364306,64.0,85.00000000000001,101.0
2012-04-01,170402080203,89.19330718151187,71.0,89.00000000000003,108.0
2012-04-01,170402080202,72.17471195120115,54.057677997823006,72.49139077409068,89.50089831949036
2012-04-01,170402080204,77.21799666673044,58.99999999999999,77.34230574603215,93.26965889018518
2012-04-01,170402080208,83.85918418138809,64.0,84.0,105.00000000000001
2012-04-01,170402080209,80.51779381371617,58.99999999999999,78.00612501610047,102.01168852912204
2012-04-01,170402080207,89.82007661058924,66.4881083150554,88.0,112.0
2012-04-01,170402080210,80.98754966645798,56.99999999999999,78.41546192304597,103.00000000000001
2012-04-01,170402080301,81.07430431426458,56.45426651389368,79.00000000000003,103.99999999999999
2012-04-01,170402080303,85.79735418613811,68.48684977259143,81.46979475085922,99.0
2012-04-01,170402080302,72.60115260878413,56.34606281149027,70.67477390260576,86.3596402300832
2012-04-01,170402080304,80.80940921560502,62.08161057415642,78.00000000000003,95.99999999999999
2012-04-01,170402080307,74.92796165931681,54.366915411991734,72.24793459987156,92.36668079924223
2012-04-01,170402080308,73.62408003934821,58.00000000000001,70.9669970991506,87.00000000000001
2012-04-01,170402080401,71.32393395890797,57.51237917568241,70.0,85.0
2012-04-01,170402080403,80.04982936326702,66.0,79.00000000000003,91.99999999999999
2012-04-01,170402080205,77.87365278980096,61.521133348421664,78.0,90.99999999999999
2012-04-01,170402080402,86.58481760087768,66.99999999999999,82.0,98.99999999999997
2012-04-01,170402080404,75.27270063529248,54.55179103540198,71.39731873161739,91.42289138867181
2012-05-01,170402080608,105.902338858891,66.97431384749541,94.95782310951192,146.0
2012-05-01,170402080102,103.45002183438733,87.16514483023212,104.5326920534719,120.0
2012-05-01,170402080104,101.87669461325333,81.0,101.10068973687328,121.99999999999999
2012-05-01,170402080106,94.66721712299052,79.00000000000001,96.0,112.48080001766532
2012-05-01,170402080107,84.5133736294945,62.0,84.99999999999997,106.00000000000001
2012-05-01,170402080105,101.77002386937296,79.80529368029738,97.0,115.67301118139518
2012-05-01,170402080108,99.54422164388035,81.45585831510746,98.00000000000001,115.0
2012-05-01,170402080211,102.03865155248029,79.00000000000001,99.00000000000001,123.00000000000003
2012-05-01,170402080506,81.88455764870093,59.0,78.34791474936604,102.99999999999999
2012-05-01,170402080602,80.41852949504593,60.128938993643025,78.00000000000001,97.00000000000001
2012-05-01,170402080603,102.76802142879384,80.00000000000003,103.47952807598392,126.4910100273412
2012-05-01,170402080605,67.99361011426117,34.24948481603765,62.0,92.27669682914508
2012-05-01,170402080607,96.40033754760715,49.00000000000002,92.00000000000001,141.22293790407457
2012-05-01,170402080606,108.35845397508079,72.44524343018583,103.99999999999999,146.48800691222596
2012-05-01,170402080507,73.04702789770282,47.00000000000001,66.00000000000003,93.00000000000001
2012-05-01,170402080101,96.3771492371625,85.0,97.00000000000003,108.99999999999999
2012-05-01,170402080103,113.0727088991349,92.0,113.0,135.0
2012-05-01,170402080206,108.71344686314067,83.0,108.0,135.00000000000003
2012-05-01,170402080501,107.10207374145796,86.0,105.99999999999997,127.00000000000001
2012-05-01,170402080502,106.38608648033656,79.0,106.00000000000001,134.0
2012-05-01,170402080503,85.70303889400539,58.00000000000001,87.00000000000003,112.99999999999996
2012-05-01,170402080504,105.52925773243327,76.23484427450369,109.00000000000003,135.31525301548183
2012-05-01,170402080505,79.91559476566897,49.439409232515125,76.0,107.43898174920281
2012-05-01,170402080601,93.06994194540918,74.06659286128574,89.0,109.0
2012-05-01,170402080604,47.03602579501525,19.000000000000007,37.99999999999999,66.0
2012-05-01,170402080305,101.3442692499312,80.52391774398306,100.49606658601189,121.98527437307806
2012-05-01,170402080306,93.17948679088474,70.99999999999999,91.00000000000001,115.0
2012-05-01,170402080201,92.36898828943433,69.00000000000003,97.0,115.00000000000004
2012-05-01,170402080203,115.46315742501903,96.00000000000001,114.0,134.00000000000003
2012-05-01,170402080202,84.93031201911323,64.49517662580449,85.50277820275663,104.4875538737453
2012-05-01,170402080204,102.81642766303918,78.27641617969618,99.26766261752718,123.99999999999999
2012-05-01,170402080208,110.02133904570643,90.00000000000001,110.99999999999999,131.00000000000003
2012-05-01,170402080209,108.66259185847024,85.99999999999997,108.99999999999997,131.00000000000009
2012-05-01,170402080207,105.74306489205492,81.29417564496111,105.2973752618964,130.00000000000003
2012-05-01,170402080210,90.1823719887276,64.0,90.00000000000001,115.0
2012-05-01,170402080301,104.19118052089463,81.0,104.47478827995718,127.00000000000003
2012-05-01,170402080303,116.1397308719098,90.9087110169669,113.45660737696652,137.0
2012-05-01,170402080302,84.99274331351708,64.29943858626444,83.0,103.00000000000001
2012-05-01,170402080304,106.75460379152348,86.5100611183479,103.48862498806815,124.48600918573246
2012-05-01,170402080307,80.47356532076746,58.509443751689496,80.00000000000001,101.33792793439379
2012-05-01,170402080308,89.79197692137784,64.0,84.00000000000001,113.09478537298108
2012-05-01,170402080401,82.34666184065625,60.51396605469763,81.50104114721617,101.99999999999999
2012-05-01,170402080403,97.78575059374066,75.00000000000001,94.99999999999999,118.00000000000001
2012-05-01,170402080205,96.18965480875221,73.53418679682328,96.00000000000001,114.469429501132
2012-05-01,170402080402,109.69955129812422,86.00000000000001,107.99999999999999,132.00000000000003
2012-05-01,170402080404,95.68900224448527,72.0,90.68598830757699,114.65721162965035
2012-06-01,170402080608,143.16142536086258,86.50814447419371,148.51000456419075,196.50362842292304
2012-06-01,170402080102,121.78829877184116,100.00000000000003,122.31593132094248,143.0
2012-06-01,170402080104,124.91281638296182,97.99999999999996,121.00000000000003,150.1213155961618
2012-06-01,170402080106,104.79229039028453,82.48719430001928,104.51580602702829,126.4778062001808
2012-06-01,170402080107,93.18957918849648,64.0,91.00000000000001,122.00000000000003
2012-06-01,170402080105,115.84348014920185,86.50064634780172,110.49306317590813,138.5251891864265
2012-06-01,170402080108,111.56533559277446,84.46906566880587,103.00000000000001,137.99999999999997
2012-06-01,170402080211,103.56757803519442,74.35989966714145,99.50917852902919,129.0
2012-06-01,170402080506,93.12915721979222,66.99999999999999,88.0,117.00000000000001
2012-06-01,170402080602,86.12749352008633,58.0,82.0,111.30249388960013
2012-06-01,170402080603,123.30390585867858,92.48595348122156,123.00000000000001,154.49747427863227
2012-06-01,170402080605,91.39184180936293,43.3687932921848,83.17626533921599,132.07238589712628
2012-06-01,170402080607,128.1022694812175,66.52264420865328,134.53937351331544,184.80593862320282
2012-06-01,170402080606,141.737741683362,96.50000855544212,144.4987682442661,190.53194405895445
2012-06-01,170402080507,85.73579775082405,50.50608241772357,74.51005760983479,110.5233126045303
2012-06-01,170402080101,105.75657559758908,87.39494608201584,107.78051173187947,125.00000000000004
2012-06-01,170402080103,130.6499297180751,104.00000000000001,129.0,159.0
2012-06-01,170402080206,118.71033307849882,90.00000000000001,115.49208619437658,144.0
2012-06-01,170402080501,106.60162734910078,76.99999999999999,104.0,133.0
2012-06-01,170402080502,94.44596629640832,62.00000000000002,89.99999999999999,121.99999999999999
2012-06-01,170402080503,75.86872386678509,42.999999999999986,74.0,106.00000000000001
2012-06-01,170402080504,118.45662120220412,85.274264359489,117.31815726938865,151.0
2012-06-01,170402080505,84.2891613090398,51.255996216128246,80.0,114.0
2012-06-01,170402080601,111.88939622808246,86.07371381938776,106.99999999999999,133.0
2012-06-01,170402080604,59.759265622141186,20.000000000000004,40.00000000000001,80.0
2012-06-01,170402080305,103.53749782275601,76.49227075461765,102.49903638410746,128.5099029335699
2012-06-01,170402080306,90.82539707976915,59.0,87.00000000000001,119.0
2012-06-01,170402080201,99.12038823381965,75.0,97.99999999999999,121.99999999999997
2012-06-01,170402080203,118.58094652844305,89.99999999999997,114.00000000000001,142.00000000000003
2012-06-01,170402080202,100.97665316161691,72.51015771167778,96.50081065610014,126.49599550165215
2012-06-01,170402080204,128.43640086664237,91.0,120.99999999999997,169.0
2012-06-01,170402080208,115.88017015539006,87.00000000000001,113.99999999999999,144.0
2012-06-01,170402080209,114.26459174449741,87.49769599821482,112.49106101491383,140.00000000000006
2012-06-01,170402080207,120.00175034583187,87.25101781527705,117.66057420748189,151.10448676754103
2012-06-01,170402080210,96.62787096453394,64.0,94.00000000000001,126.0
2012-06-01,170402080301,88.82123098185134,58.0,88.00000000000001,115.0
2012-06-01,170402080303,120.45052417187118,83.47721304969474,118.49937745201683,155.4364426956718
2012-06-01,170402080302,79.33916949196015,46.49254616049689,70.4872631661034,102.51015937813368
2012-06-01,170402080304,108.91435002323324,80.95664646596528,104.98551257803436,134.48971442912617
2012-06-01,170402080307,71.91295155536612,39.30609747866584,62.38957564000882,97.96935055222424
2012-06-01,170402080308,84.5078423086933,42.49206893781309,74.49540170958053,120.47649948558525
2012-06-01,170402080401,81.84590632557804,50.0,76.99999999999999,105.99999999999999
2012-06-01,170402080403,107.11704436326453,74.51106732058345,102.51317200426975,132.4827421858011
2012-06-01,170402080205,109.32237717511143,86.00000000000003,102.99602153054057,135.0
2012-06-01,170402080402,119.42476093096776,82.50557007830183,116.45439186976965,152.48845307153982
2012-06-01,170402080404,104.09619667905046,72.75547797141095,94.49638958178109,126.58262835001615
2012-07-01,170402080608,133.57080096799262,70.56822231739346,144.4909571236098,188.5032729745813
2012-07-01,170402080102,103.31711133432214,74.59586341098836,100.5674538846824,128.50056744435506
2012-07-01,170402080104,103.0256481811842,72.45851373008658,101.00000000000001,131.99999999999997
2012-07-01,170402080106,94.4181368650735,64.48854785123454,91.48271180304127,122.47016108412171
2012-07-01,170402080107,77.48126471401551,41.99999999999999,74.0,107.00000000000003
2012-07-01,170402080105,98.42078862723999,60.593471714173354,90.58091656393623,128.47151096916605
2012-07-01,170402080108,90.53442240464736,52.50957997693785,76.49302846227906,126.50340249029885
2012-07-01,170402080211,89.59162757670528,52.516697296339295,84.50384213429727,120.5067902374183
2012-07-01,170402080506,84.73304051453434,48.50711592507026,80.49089171217372,114.47920640348023
2012-07-01,170402080602,71.00960683409801,29.999999999999996,64.0,105.00000000000001
2012-07-01,170402080603,109.54619683497937,68.50636884288183,108.50142897336039,146.5023412341689
2012-07-01,170402080605,88.8290472394277,38.67977424377353,76.51382840228139,134.47696259228562
2012-07-01,170402080607,124.12958833588182,62.51985450136404,138.57884157289706,174.5107313776171
2012-07-01,170402080606,121.57935991647086,70.52525106751446,136.47901883861456,166.48313590610766
2012-07-01,170402080507,77.21336934441429,28.496737665661634,66.51465259901791,110.49472851223624
2012-07-01,170402080101,83.23042543188834,57.42733665589859,82.80008705782943,106.83397975630702
2012-07-01,170402080103,109.29895132636702,81.99999999999997,109.00000000000001,137.0
2012-07-01,170402080206,93.60534810532897,64.0,90.49659541965615,119.48314303000657
2012-07-01,170402080501,93.4504166206465,54.51801236069401,88.50907212471161,128.49651337473935
2012-07-01,170402080502,74.50798936525807,39.0,70.99999999999999,106.0
2012-07-01,170402080503,62.213384612954926,20.487257383966245,54.50557589018399,94.4798032655629
2012-07-01,170402080504,104.26764789001207,62.49473833512911,102.49732616913735,144.48420106143678
2012-07-01,170402080505,73.22869118719767,32.465521397236266,68.4732015274868,106.50370699161506
2012-07-01,170402080601,88.7846062987614,57.00000000000001,83.09727681857957,114.20624209406988
2012-07-01,170402080604,58.605108609741045,14.479956535428911,30.48337187809474,78.51284634760705
2012-07-01,170402080305,84.1199500354137,55.99739844738389,82.00000000000001,109.99999999999999
2012-07-01,170402080306,75.59296096259658,39.00000000000001,69.00000000000003,106.0
2012-07-01,170402080201,88.20580325868343,64.0,87.99999999999996,110.99999999999999
2012-07-01,170402080203,91.47267411291992,57.999999999999986,85.00000000000001,120.00000000000001
2012-07-01,170402080202,85.64971716562174,51.50158663426208,78.0,113.96525861955531
2012-07-01,170402080204,109.27185780776891,60.999999999999986,99.00000000000001,162.45117641321622
2012-07-01,170402080208,92.13379352873754,57.999999999999986,90.0,122.00000000000003
2012-07-01,170402080209,93.24844605600957,62.511875052361944,93.50905788868022,121.50004836513445
2012-07-01,170402080207,93.39766765686427,59.07588620263767,93.54024079764704,124.00000000000003
2012-07-01,170402080210,74.76435636821826,39.00000000000001,72.0,105.0
2012-07-01,170402080301,91.11878455474404,59.470226896984215,88.44908886006505,121.00000000000003
2012-07-01,170402080303,107.78561487226644,58.50000966715968,102.5824149642622,150.49879877069003
2012-07-01,170402080302,66.36429657117417,30.479498697108824,54.543009479699336,88.48503238985195
2012-07-01,170402080304,90.4094571654397,55.00000000000001,82.99999999999999,119.99999999999996
2012-07-01,170402080307,66.59670556511334,28.000000000000004,51.361290111543624,96.38851403813902
2012-07-01,170402080308,68.70283470000582,27.504547878300784,52.95132224782129,97.46149195985973
2012-07-01,170402080401,69.40735583409653,30.488326217995454,56.48705731313994,96.46675393935786
2012-07-01,170402080403,93.77886628340863,54.520092444757125,84.49172679033207,124.46611131470041
2012-07-01,170402080205,79.34347139992948,51.0,73.99999999999999,103.00000000000001
2012-07-01,170402080402,100.48998543755658,56.48971784359723,94.50135141542988,138.4822538507969
2012-07-01,170402080404,86.40763920838906,46.494767069321504,72.49867665647001,118.52008293031125
2012-08-01,170402080608,108.58866405441239,66.5126823824417,112.49699173128279,152.47580748284045
2012-08-01,170402080102,75.99483951215932,53.37756977308868,76.0,97.49883795722515
2012-08-01,170402080104,81.96857350174035,53.00000000000001,80.0,107.99999999999999
2012-08-01,170402080106,76.10215100870626,50.475316083651336,73.00000000000001,100.00000000000001
2012-08-01,170402080107,69.94997627073029,41.0,64.0,96.99999999999999
2012-08-01,170402080105,75.24464865729404,46.00000000000001,68.99999999999999,100.0
2012-08-01,170402080108,70.43961025719528,41.43980983738744,59.443376664619585,95.99999999999999
2012-08-01,170402080211,76.39399776500821,41.318851801444026,70.99999999999999,104.99999999999999
2012-08-01,170402080506,77.9910861515685,44.53072302264497,76.49139182649222,106.47680875300405
2012-08-01,170402080602,53.84658844353073,24.0,47.431231213872834,75.40896381339923
2012-08-01,170402080603,88.75736810801214,54.00000000000001,88.0,120.00000000000001
2012-08-01,170402080605,57.2795937072974,23.406260148536635,51.14085580941566,83.08821648572898
2012-08-01,170402080607,88.38751594554778,41.00000000000001,87.0,133.4238479320389
2012-08-01,170402080606,93.75894469018264,54.0,87.0,130.99999999999997
2012-08-01,170402080507,59.75356777065091,15.0,54.0,91.00000000000003
2012-08-01,170402080101,64.63681468648149,45.00000000000001,64.0,82.43904730665095
2012-08-01,170402080103,88.0590438246647,60.000000000000014,87.00000000000001,113.99999999999999
2012-08-01,170402080206,85.28090585412528,56.000000000000014,83.02281421221436,110.99999999999999
2012-08-01,170402080501,79.23147040122727,42.48763363805395,76.50998438295107,112.49529113580685
